"lambda_","max_iters","gamma","categorical_subsets","standardize","nan_threshold_percentage","nan_replacement_type","extrema_clip_percentage","non_informative_threshold","feature_augmentation","poly_max_degree","ihs","sine","sinh","cosine","cosh","exp","abs","seed","test_accuracies"
1e-05,3200,0.0001,"[[0, 1, 2, 3]]",True,0.9,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.678, 0.7, 0.738, 0.738, 0.748, 0.726, 0.692, 0.716, 0.696, 0.758]"
1e-05,3200,0.0001,"[[0, 1, 2, 3]]",True,0.9,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.676, 0.694, 0.73, 0.742, 0.742, 0.714, 0.688, 0.716, 0.696, 0.75]"
1e-05,3200,0.001,"[[0, 1, 2, 3]]",True,0.5,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.72, 0.696, 0.75, 0.748, 0.764, 0.74, 0.686, 0.732, 0.712, 0.764]"
1e-05,3200,0.001,"[[0, 1, 2, 3]]",True,0.5,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.722, 0.7, 0.75, 0.75, 0.764, 0.742, 0.686, 0.736, 0.714, 0.764]"
1e-05,3200,0.001,"[[0, 1, 2, 3]]",True,0.6333333333333333,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.72, 0.696, 0.75, 0.748, 0.764, 0.74, 0.686, 0.732, 0.712, 0.764]"
1e-05,3200,0.001,"[[0, 1, 2, 3]]",True,0.6333333333333333,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.722, 0.7, 0.75, 0.75, 0.764, 0.742, 0.686, 0.736, 0.714, 0.764]"
1e-05,3200,0.001,"[[0, 1, 2, 3]]",True,0.7666666666666666,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.718, 0.712, 0.752, 0.748, 0.768, 0.748, 0.694, 0.75, 0.728, 0.778]"
1e-05,3200,0.001,"[[0, 1, 2, 3]]",True,0.7666666666666666,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.714, 0.714, 0.754, 0.748, 0.768, 0.75, 0.694, 0.75, 0.726, 0.776]"
1e-05,3200,0.001,"[[0, 1, 2, 3]]",True,0.9,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.718, 0.712, 0.752, 0.748, 0.768, 0.748, 0.694, 0.75, 0.728, 0.778]"
1e-05,3200,0.001,"[[0, 1, 2, 3]]",True,0.9,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.714, 0.714, 0.754, 0.748, 0.768, 0.75, 0.694, 0.75, 0.726, 0.776]"
1e-05,3200,0.01,"[[0, 1, 2, 3]]",True,0.5,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.716, 0.714, 0.742, 0.734, 0.764, 0.748, 0.706, 0.742, 0.734, 0.732]"
1e-05,3200,0.01,"[[0, 1, 2, 3]]",True,0.5,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.716, 0.716, 0.746, 0.734, 0.762, 0.748, 0.706, 0.742, 0.734, 0.734]"
1e-05,3200,0.01,"[[0, 1, 2, 3]]",True,0.6333333333333333,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.716, 0.714, 0.742, 0.734, 0.764, 0.748, 0.706, 0.742, 0.734, 0.732]"
1e-05,3200,0.01,"[[0, 1, 2, 3]]",True,0.6333333333333333,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.716, 0.716, 0.746, 0.734, 0.762, 0.748, 0.706, 0.742, 0.734, 0.734]"
