"lambda_","max_iters","gamma","categorical_subsets","standardize","nan_threshold_percentage","nan_replacement_type","extrema_clip_percentage","non_informative_threshold","feature_augmentation","poly_max_degree","ihs","sine","sinh","cosine","cosh","exp","abs","seed","test_accuracies"
1e-05,200,0.01,"[[0, 1, 2, 3]]",True,0.6333333333333333,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.7, 0.696, 0.742, 0.724, 0.766, 0.714, 0.692, 0.726, 0.704, 0.738]"
1e-05,200,0.01,"[[0, 1, 2, 3]]",True,0.7666666666666666,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.702, 0.71, 0.756, 0.74, 0.766, 0.73, 0.696, 0.728, 0.712, 0.772]"
1e-05,200,0.01,"[[0, 1, 2, 3]]",True,0.7666666666666666,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.7, 0.716, 0.754, 0.744, 0.766, 0.73, 0.696, 0.728, 0.71, 0.768]"
1e-05,200,0.01,"[[0, 1, 2, 3]]",True,0.9,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.702, 0.71, 0.756, 0.74, 0.766, 0.73, 0.696, 0.728, 0.712, 0.772]"
1e-05,200,0.01,"[[0, 1, 2, 3]]",True,0.9,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.7, 0.716, 0.754, 0.744, 0.766, 0.73, 0.696, 0.728, 0.71, 0.768]"
1e-05,200,0.1,"[[0, 1, 2, 3]]",True,0.5,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.754, 0.698, 0.746, 0.746, 0.764, 0.742, 0.698, 0.728, 0.736, 0.742]"
1e-05,200,0.1,"[[0, 1, 2, 3]]",True,0.5,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.756, 0.7, 0.746, 0.746, 0.764, 0.742, 0.698, 0.73, 0.736, 0.74]"
1e-05,200,0.1,"[[0, 1, 2, 3]]",True,0.6333333333333333,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.754, 0.698, 0.746, 0.746, 0.764, 0.742, 0.698, 0.728, 0.736, 0.742]"
1e-05,200,0.1,"[[0, 1, 2, 3]]",True,0.6333333333333333,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.756, 0.7, 0.746, 0.746, 0.764, 0.742, 0.698, 0.73, 0.736, 0.74]"
1e-05,200,0.1,"[[0, 1, 2, 3]]",True,0.7666666666666666,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.734, 0.712, 0.772, 0.756, 0.774, 0.752, 0.714, 0.746, 0.758, 0.77]"
1e-05,200,0.1,"[[0, 1, 2, 3]]",True,0.7666666666666666,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.734, 0.714, 0.772, 0.756, 0.77, 0.752, 0.716, 0.748, 0.756, 0.768]"
1e-05,200,0.1,"[[0, 1, 2, 3]]",True,0.9,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.734, 0.712, 0.772, 0.756, 0.774, 0.752, 0.714, 0.746, 0.758, 0.77]"
1e-05,200,0.1,"[[0, 1, 2, 3]]",True,0.9,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.734, 0.714, 0.772, 0.756, 0.77, 0.752, 0.716, 0.748, 0.756, 0.768]"
1e-05,200,1.0,"[[0, 1, 2, 3]]",True,0.5,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.76, 0.704, 0.76, 0.752, 0.762, 0.754, 0.724, 0.732, 0.758, 0.746]"
1e-05,200,1.0,"[[0, 1, 2, 3]]",True,0.5,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.76, 0.704, 0.76, 0.752, 0.764, 0.756, 0.724, 0.734, 0.758, 0.746]"
1e-05,200,1.0,"[[0, 1, 2, 3]]",True,0.6333333333333333,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.76, 0.704, 0.76, 0.752, 0.762, 0.754, 0.724, 0.732, 0.758, 0.746]"
1e-05,200,1.0,"[[0, 1, 2, 3]]",True,0.6333333333333333,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.76, 0.704, 0.76, 0.752, 0.764, 0.756, 0.724, 0.734, 0.758, 0.746]"
1e-05,200,1.0,"[[0, 1, 2, 3]]",True,0.7666666666666666,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.766, 0.708, 0.77, 0.746, 0.782, 0.772, 0.724, 0.74, 0.76, 0.768]"
1e-05,200,1.0,"[[0, 1, 2, 3]]",True,0.7666666666666666,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.766, 0.708, 0.77, 0.746, 0.782, 0.772, 0.728, 0.74, 0.764, 0.768]"
